term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,tfidf,dfidf
110,9,3,1.074492153222581e-05,16.505985527313932,CD,1,{'CD'},0,110,110,110,0.664919501602001,75.76933706979513
110a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,110a,110a,110a,0.23310592773316616,12.471167133724391
110b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,110b,110b,110b,0.23310592773316616,12.471167133724391
111,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,111,111,111,1.0715056029435408,41.884668534897564
112,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,112,112,112,0.7641133859497375,41.884668534897564
113,6,3,7.163281021483874e-06,17.090948028035086,CD,1,{'CD'},0,113,113,113,0.27408954010693065,50.74619519418515
1130,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1130,1130,1130,0.9593205487480301,12.471167133724391
114,7,3,8.357161191731187e-06,16.86855560669864,CD,1,{'CD'},0,114,114,114,0.27001747525643044,59.31722779801941
115,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,115,115,115,0.1551618213548031,41.884668534897564
115a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,115a,115a,115a,0.23310592773316616,12.471167133724391
115b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,115b,115b,115b,0.23310592773316616,12.471167133724391
116,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,116,116,116,0.1551618213548031,41.884668534897564
116a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,116a,116a,116a,0.23310592773316616,12.471167133724391
117,6,3,7.163281021483874e-06,17.090948028035086,CD,1,{'CD'},0,117,117,117,0.27645533009267353,50.74619519418515
118,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,118,118,118,1.9177700911111923,32.65861389900971
118a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,118a,118a,118a,0.23310592773316616,12.471167133724391
119,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,119,119,119,0.3079100885753955,41.884668534897564
12,39,2,4.656132663964518e-05,14.390508309893994,CD,3,"{'CD', 'NN', 'NNP'}",0,12,12,12,1.0301791734981505,208.33955005214492
120,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,120,120,120,0.9559029923052798,41.884668534897564
1200,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1200,1200,1200,0.8314111422482927,12.471167133724391
120a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,120a,120a,120a,1.4671961333793402,12.471167133724391
121,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,121,121,121,1.7574461074194765,32.65861389900971
122,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,122,122,122,2.324118290696722,32.65861389900971
123,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,123,123,123,1.3468428734501594,41.884668534897564
124,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,124,124,124,1.0031314711948678,32.65861389900971
125,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,125,125,125,0.5117402898440274,32.65861389900971
12500000,1,8,1.1938801702473122e-06,19.675910528756244,JJ,1,{'JJ'},0,12500000,12500000,12500000,0.12725680748698356,12.471167133724391
126,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,126,126,126,0.4785253252887162,32.65861389900971
12604,125,5,0.0001492350212809,12.710126244094155,CD,1,{'CD'},0,12604,12604,12604,0.6352905787035602,314.06913168276225
126a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126a,126a,126a,0.8600804919809925,12.471167133724391
126b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126b,126b,126b,0.8600804919809925,12.471167133724391
126bb,2,5,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126bb,126bb,126bb,0.7126381219271081,12.471167133724391
126c,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126c,126c,126c,0.7126381219271081,12.471167133724391
126d,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126d,126d,126d,0.7126381219271081,12.471167133724391
126e,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126e,126e,126e,0.7126381219271081,12.471167133724391
126f,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126f,126f,126f,0.7126381219271081,12.471167133724391
127,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,127,127,127,0.4995249484233675,32.65861389900971
128,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,128,128,128,0.7862258901613447,32.65861389900971
129,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,129,129,129,3.1247439224361138,32.65861389900971
13,20,2,2.3877603404946247e-05,15.35398243386888,CD,1,{'CD'},0,13,13,13,0.7629378040392704,156.2415527853353
130,6,3,7.163281021483874e-06,17.090948028035086,CD,1,{'CD'},0,130,130,130,1.2796389047884351,50.74619519418515
131,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,131,131,131,2.3091949221522015,32.65861389900971
131sthex,1,8,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,131sthex,131sthex,131sthex,1.3856852370804877,12.471167133724391
132,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,132,132,132,1.5263726072729404,32.65861389900971
132a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,132a,132a,132a,0.3959100677372822,12.471167133724391
132b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,132b,132b,132b,2.2674849334044347,12.471167133724391
132c,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,132c,132c,132c,2.2674849334044347,12.471167133724391
132d,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,132d,132d,132d,4.988466853489757,12.471167133724391
133,2,3,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,133,133,133,0.8922018881785638,22.942334267448782
134,3,3,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,134,134,134,4.222913688046089,32.65861389900971
135,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,135,135,135,6.2355835668621955,12.471167133724391
136,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,136,136,136,0.6928426185402439,12.471167133724391
137,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,137,137,137,0.6928426185402439,12.471167133724391
138,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,138,138,138,2.4942334267448785,12.471167133724391
139,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,139,139,139,6.2355835668621955,12.471167133724391
13may,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,13may,13may,13may,0.2445326888965567,12.471167133724391
13th,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,13th,13th,13th,0.7766553382002239,41.884668534897564
13ths,1,5,1.1938801702473122e-06,19.675910528756244,NNS,1,{'NNS'},0,13th,13ths,13ths,2.078527855620732,12.471167133724391
14,116,2,0.0001384900997486,12.817929533628671,CD,1,{'CD'},0,14,14,14,1.5930244578266408,341.36554719748335
140,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,140,140,140,3.1177917834310978,12.471167133724391
1407,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1407,1407,1407,0.4453988262044425,12.471167133724391
141,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,141,141,141,1.3856852370804877,12.471167133724391
142,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,142,142,142,2.4942334267448785,12.471167133724391
143,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,143,143,143,0.6563772175644416,12.471167133724391
144,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,144,144,144,0.6563772175644416,12.471167133724391
145,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,145,145,145,1.1337424667022173,12.471167133724391
146,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,146,146,146,6.2355835668621955,12.471167133724391
14672,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,14672,14672,14672,4.157055711241464,12.471167133724391
147,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,147,147,147,2.4942334267448785,12.471167133724391
149,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,149,149,149,12.471167133724391,12.471167133724391
14may,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,14may,14may,14may,0.2445326888965567,12.471167133724391
14os,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,14o,14os,14os,4.157055711241464,12.471167133724391
14s,9,3,1.074492153222581e-05,16.505985527313932,CD,1,{'CD'},0,14,14s,14s,1.0166105409707,83.71117919053872
14th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,14th,14th,14th,2.078527855620732,12.471167133724391
15,38,2,4.536744646939786e-05,14.427983015312655,CD,2,"{'CD', 'NNP'}",0,15,15,15,0.8253773417421749,256.9659440872799
150,2,3,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,150,150,150,1.4338958917155489,22.942334267448782
151,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,151,151,151,0.3041748081396193,12.471167133724391
152,3,3,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,152,152,152,0.4585358136109343,22.942334267448782
159,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,159,159,159,2.4942334267448785,12.471167133724391
15th,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,15th,15th,15th,5.84380212472752,22.942334267448782
16,29,2,3.4622524937172054e-05,14.817929533628671,CD,3,"{'CD', 'NN', 'NNP'}",0,16,16,16,0.814628059572626,214.58674192667004
160,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,160,160,160,0.4453988262044425,12.471167133724391
1612,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1612,1612,1612,1.3287276476506331,41.884668534897564
1665,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1665,1665,1665,0.49884668534897564,12.471167133724391
167,1,3,1.1938801702473122e-06,19.675910528756244,NN,1,{'NN'},0,167,167,167,3.1177917834310978,12.471167133724391
16h25,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,16h25,16h25,16h25,0.2445326888965567,12.471167133724391
16th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,16th,16th,16th,0.6928426185402439,12.471167133724391
16the,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,16the,16the,16the,0.49884668534897564,12.471167133724391
17,35,2,4.178580595865593e-05,14.546627511811275,CD,4,"{'CD', 'NN', 'NNP', 'VBZ'}",0,17,17,17,1.0190468162114177,226.9282961434762
1745,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1745,1745,1745,0.17815953048177702,12.471167133724391
1763,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1763,1763,1763,1.1337424667022173,12.471167133724391
179,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,179,179,179,0.5668712333511087,12.471167133724391
1790,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1790,1790,1790,0.4453988262044425,12.471167133724391
1791,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1791,1791,1791,1.0028226447641764,32.65861389900971
17th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,17th,17th,17th,2.4942334267448785,12.471167133724391
18,22,2,2.626536374544087e-05,15.216478910118946,CD,4,"{'CD', 'NN', 'NNP', 'VBZ'}",0,18,18,18,0.6031198968936567,169.65584392985826
180,28,3,3.3428644766924746e-05,14.86855560669864,CD,2,"{'CD', 'NN'}",0,180,180,180,0.7821567456476926,195.68277359874168
1800,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1800,1800,1800,0.7262589581416417,22.942334267448782
180s,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,180,180s,180s,0.7335980666896701,12.471167133724391
183,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,183,183,183,3.1177917834310978,12.471167133724391
186,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,186,186,186,0.41570557112414636,12.471167133724391
187,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,187,187,187,0.41570557112414636,12.471167133724391
1870,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1870,1870,1870,0.6235583566862196,12.471167133724391
1872,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1872,1872,1872,0.36679903334483505,12.471167133724391
1880s,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1880,1880s,1880s,1.5588958917155489,12.471167133724391
18i,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,18i,18i,18i,0.34642130927012194,12.471167133724391
18th,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,18th,18th,18th,3.1177917834310978,12.471167133724391
19,20,2,2.3877603404946247e-05,15.35398243386888,CD,1,{'CD'},0,19,19,19,0.5806399778545511,156.2415527853353
190,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,190,190,190,0.5668712333511087,12.471167133724391
1907,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1907,1907,1907,0.8251665037230989,22.942334267448782
1909,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1909,1909,1909,1.5588958917155489,12.471167133724391
1910,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1910,1910,1910,1.3856852370804877,12.471167133724391
1914,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1914,1914,1914,0.8314111422482927,12.471167133724391
1921,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1921,1921,1921,2.4942334267448785,12.471167133724391
1925,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1925,1925,1925,0.39407191307159933,32.65861389900971
1928,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1928,1928,1928,0.7794479458577744,12.471167133724391
1930,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1930,1930,1930,0.8314111422482927,12.471167133724391
1931,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1931,1931,1931,0.2445326888965567,12.471167133724391
1936,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1936,1936,1936,0.6235583566862196,12.471167133724391
1937,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1937,1937,1937,0.8314111422482927,12.471167133724391
1940s,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1940,1940s,1940s,0.15396502634227643,12.471167133724391
1941,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1941,1941,1941,0.40229571399110936,12.471167133724391
1944,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1944,1944,1944,2.078527855620732,12.471167133724391
1946,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1946,1946,1946,0.8314111422482927,12.471167133724391
1947,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1947,1947,1947,4.157055711241464,12.471167133724391
1950,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1950,1950,1950,2.4854195456402848,22.942334267448782
1950s,2,5,2.3877603404946244e-06,18.675910528756244,NNP,2,"{'CD', 'NNP'}",0,1950,1950s,1950s,1.0037271242008843,22.942334267448782
1951,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1951,1951,1951,0.7335980666896701,12.471167133724391
1952,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1952,1952,1952,0.6235583566862196,12.471167133724391
1953,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1953,1953,1953,1.6185823706704694,41.884668534897564
1957right,1,9,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1957right,1957right,1957right,1.78159530481777,12.471167133724391
1958,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1958,1958,1958,2.4942334267448785,12.471167133724391
1960s,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1960,1960s,1960s,0.3370585711817403,12.471167133724391
1963,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1963,1963,1963,1.5848323013698171,22.942334267448782
1965,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1965,1965,1965,2.4942334267448785,12.471167133724391
1967,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1967,1967,1967,6.2355835668621955,12.471167133724391
1968,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1968,1968,1968,1.3856852370804877,12.471167133724391
1969,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1969,1969,1969,0.1558895891715549,12.471167133724391
1970,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1970,1970,1970,0.23530504025895077,12.471167133724391
1971,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1971,1971,1971,2.124290209948961,22.942334267448782
1972,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1972,1972,1972,0.6113629413461962,32.65861389900971
1973,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1973,1973,1973,0.6928426185402439,12.471167133724391
1974,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1974,1974,1974,4.157055711241464,12.471167133724391
1975,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1975,1975,1975,0.5542740948321951,12.471167133724391
1978,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1978,1978,1978,0.8732249705617567,32.65861389900971
1980,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1980,1980,1980,0.6693217628090875,41.884668534897564
1980s,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1980,1980s,1980s,0.28343561667555434,12.471167133724391
1981,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1981,1981,1981,0.6193783581399258,32.65861389900971
1982,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1982,1982,1982,0.6563772175644416,12.471167133724391
1983,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1983,1983,1983,0.3370585711817403,12.471167133724391
1984,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1984,1984,1984,0.6205163508008809,22.942334267448782
1985,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1985,1985,1985,0.34404622788840566,22.942334267448782
1986,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1986,1986,1986,1.018820765166311,22.942334267448782
1987,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1987,1987,1987,0.3370585711817403,12.471167133724391
1988,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1988,1988,1988,0.6563772175644416,12.471167133724391
1989,4,4,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,1989,1989,1989,1.6645920703198955,32.65861389900971
1990,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1990,1990,1990,1.039263927810366,12.471167133724391
1991,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1991,1991,1991,0.12471167133724391,12.471167133724391
1995,3,4,3.581640510741937e-06,18.090948028035086,CD,2,"{'CD', 'JJ'}",0,1995,1995,1995,0.6213167848908167,32.65861389900971
1996,23,4,2.7459243915688184e-05,15.15234857269923,CD,1,{'CD'},0,1996,1996,1996,0.7287082279002326,169.65584392985826
1997,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1997,1997,1997,1.392927437666533,22.942334267448782
1998,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1998,1998,1998,0.9804734386210631,32.65861389900971
1999,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1999,1999,1999,0.5542740948321951,12.471167133724391
19th,3,4,3.581640510741937e-06,18.090948028035086,JJ,2,"{'CD', 'JJ'}",0,19th,19th,19th,0.5959303422287803,32.65861389900971
